Item;Date;Scenario;Amount
 Оплата на K2 (Паркинг система) ;2026-01-31;No Partners;-2 908 937 442,38 
" POS терминал самообслуживания
SELF 4000 ";2026-01-31;No Partners;
 BCTechnologies Комплект модернизации для ККМ FISCALBOX v.1.0 ;2026-01-31;No Partners;
 Оплата по ЕРС ;2026-01-31;No Partners; -   
 Возврат Займа МН ;2026-01-31;No Partners; -   
 Возврат Займа УН ;2026-01-31;No Partners; -   
 Возврат Займа МБ ;2026-01-31;No Partners; -   
 Возврат Займа Озгувен ;2026-01-31;No Partners; -   
 Другие кредиторы (Раторг дог) ;2026-01-31;No Partners; -   
 Расходы на персонал ЗП ;2026-01-31;No Partners;-350 000 000,00 
 Лукоил ;2026-01-31;No Partners;-972 000 000,00 
 офисные расходы ;2026-01-31;No Partners; -   
 Эксплуатация котельной (ежемесячный платеж 204 103 679) ;2026-01-31;No Partners;-1 128 044 148,00 
  Услуги по ремонту, диагностике и техническому обслуживанию электрического оборудования (ежемесячный платеж 138 575 000) ;2026-01-31;No Partners;-633 700 000,00 
 Техническое обеспечение инженерных сетей (ежемесячный платеж 38 383 118) ;2026-01-31;No Partners;-291 786 107,00 
 Расход по покраске парковкии ;2026-01-31;No Partners; -   
 на работы по монтажу и пуско-наладке оборудования На объекте “Nest One” (за усиление связи в Несте) ;2026-01-31;No Partners;-938 336 020,00 
 задолжность за электричество (Story Zone) ;2026-01-31;No Partners;-1 238 691 481,53 
 Навигация по Nest One  ;2026-01-31;No Partners; -   
 Коммерческое предложение от турецкой компании SERDAROGLU на калориметры ;2026-01-31;No Partners; -   
 Расходы на газ, топливо, электроэнергию ;2026-01-31;No Partners;-790 000 000,00 
 Ежемесячная оплата на УК (ООО «CWP MC») ;2026-01-31;No Partners;-2 308 133 737,60 
 Прочие  расходы ;2026-01-31;No Partners;-167 807 876,95 
;;No Partners;
 Расходы по лизингу ;;No Partners;-1 000 000 000,00 
 Процентные расходы ;;No Partners;-1 223 013 698,63 
;;No Partners;
 Налог на прибыль ;;No Partners;
 НДС ;;No Partners;-3 300 000 000,00 
 Налог на дивиденд (5%) ;;No Partners;
 Налог на землю с юридических лиц ;;No Partners;-40 000 000,00 
 Налог на имущество (1,5%) ;;No Partners;-450 000 000,00 
;;;-17 740 450 512,09 
;;;#ДЕЛ/0!
